FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Science communication,7000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of Teacher Education
Science communication,14700,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,10062,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7517,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,12485,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7470,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,University of applied sciences
Science communication,14250,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,14040,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,7614,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,9900,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,18500,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,22740,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Cantonal university
Science communication,15000,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,Other
Science communication,24730,Open Access publication grants,Open-Access-Publikationsgrants,Subsides pour les publications en libre accès,Open Access Books,ETH Domain
